movie_title,genres,actor_1_name,actor_2_name,title_year,country,movie_imdb_link
Avatar,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Joel David Moore,2009,USA,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
Pirates of the Caribbean: At Worlds End,Action|Adventure|Fantasy,Johnny Depp,Orlando Bloom,2007,USA,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
Spectre,Action|Adventure|Thriller,Christoph Waltz,Rory Kinnear,2015,UK,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1
The Dark Knight Rises,Action|Thriller,Tom Hardy,Christian Bale,2012,USA,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
Star Wars: Episode VII - The Force Awakens            ,Documentary,Doug Walker,Rob Walker,,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1
John Carter,Action|Adventure|Sci-Fi,Daryl Sabara,Samantha Morton,2012,USA,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
Spider-Man 3,Action|Adventure|Romance,J.K. Simmons,James Franco,2007,USA,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
Tangled,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Donna Murphy,2010,USA,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
Avengers: Age of Ultron,Action|Adventure|Sci-Fi,Chris Hemsworth,Robert Downey Jr.,2015,USA,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
Harry Potter and the Half-Blood Prince,Adventure|Family|Fantasy|Mystery,Alan Rickman,Daniel Radcliffe,2009,UK,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
Batman v Superman: Dawn of Justice,Action|Adventure|Sci-Fi,Henry Cavill,Lauren Cohan,2016,USA,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
Superman Returns,Action|Adventure|Sci-Fi,Kevin Spacey,Marlon Brando,2006,USA,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
Quantum of Solace,Action|Adventure,Giancarlo Giannini,Mathieu Amalric,2008,UK,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
Pirates of the Caribbean: Dead Mans Chest,Action|Adventure|Fantasy,Johnny Depp,Orlando Bloom,2006,USA,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
